,Sector,Category,Crop,QueryType,QueryText,KccAns,DistrictName,isPaddy
34,AGRICULTURE,Cereals,Others,Market Information,Token number for Paddy procurement,Token number for Paddy procurement has send to your registered mobile number by Paddy Procurement Automation System.,BHADRAK,1
36,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Rice seed wet due to water flow at ground level weather the seed will germinate or not,Advised to transfer the seeds from the place to another place and dry the the seeds.,BHADRAK,1
38,AGRICULTURE,Cereals,Paddy (Dhan),Storage,Harvested paddy seeds affected by off season rainfall what will be done,Advise to replace the seeds from moist place to a dry place and spread these seeds over a dry mat properly in an open environment where the sun light is available so that these seed will dry and reduce the chance of germination of store paddy seeds  by passing dry air of environment and sunlight ,BHADRAK,1
39,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Can i use raw cow dung for cultivation ,Advise to not to use raw cow dung as it will allow the termites to attack any there will be the chance of burning of plant. advise to use well decomposed cow dung which will give you better result,BHADRAK,1
43,AGRICULTURE,Cereals,Paddy (Dhan),Storage,Query about long term storage of Paddy seeds,Recommended to mix the paddy seeds with Bavistin @ 1.5-2gm per kg seeds as Seed treatment in Paddy and then keep the pouch of Aluminium phosphide powder inside the gunny bag and air tight it for long term storage of Paddy seeds.,BHADRAK,1
45,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Seed Requirement of Rice per acre,Seed Requirement of Rice per acre--	20 kg/Acre,BHADRAK,1
68,AGRICULTURE,Cereals,Others,Market Information,Token number for Paddy procurement,Advised to call again with your farmer code to know the token number for Paddy procurement.,BHADRAK,1
73,AGRICULTURE,Cereals,Others,Market Information,about Paddy procurement in mandi,Advised to contact 1967 or file a grievance in food odisha portal for further information about Paddy procurement in mandi.,BHADRAK,1
81,AGRICULTURE,Cereals,Others,Market Information,Paddy supply mandi token no,"Paddy supply mandi token no--OTP can not send this time,Please try after some time.",BHADRAK,1
96,AGRICULTURE,Cereals,Others,Market Information,Paddy mandi related queries,Advice to contact after some time to  check Paddy mandi related queries.,BHADRAK,1
97,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Fertilizer management in paddy,"ଧାନ ରେ ମୂଳ ସାର ହିସାବ ରେ Urea @ 4 kg, DAP @ 35 kg and MOP @ 15 kg ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ. ଏହାର ୨୧ ଦିନ ପରେ ପିଲ ସାର ରେ Urea @ 20 kg, Zinc sulphate @ 10 kg କିମ୍ବା  Maha zinc @ 5 kg and Ferterra କିମ୍ବା  Thimet @ 4 kg ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ. ଥୋଡ ବାହାରିବା ସମୟ ରେ Urea @ 20 kg ଏକର ପିଛା ଦିଅନ୍ତୁ.",BHADRAK,1
122,AGRICULTURE,Cereals,Others,Market Information,Paddy mandi related query,Advice to keep farmer code while checking for paddy mandi related query.,BHADRAK,1
140,AGRICULTURE,Cereals,Others,Government Schemes,Paddy mandi related query,"Mandi Help Line Number - 1967
Advice to contact cooperative society of your village .",BHADRAK,1
146,AGRICULTURE,Cereals,Others,Market Information,Paddy mandi registration code,Paddy mandi registration code--SUDHAKAR MOHAPATRA	F04030008947,BHADRAK,1
167,AGRICULTURE,Cereals,Others,Market Information,Paddy mandi related query,"Advised to contact the helpline number 1967 for Dhana Mandi related queries.
Advice to contact cooperative society of your gram panchayat regarding dhana mandi related queries.
Advice to keep  farmer code while asking while checking for paddy procurement token sms. 
",BHADRAK,1
171,AGRICULTURE,Cereals,Others,Market Information,Paddy mandi related queries,"Advised to contact the helpline number 1967 or block agriculture office regarding paddy mandi related queries.
",BHADRAK,1
181,AGRICULTURE,Cereals,Others,Market Information, paddy supply and token details of mandi for 2022 Kharif,"Advised to contact 1967 to enquiry for paddy supply and token details of mandi for 2022 Kharif.
",BHADRAK,1
197,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,age of paddy seedlings for transplanting,recommended   age of paddy seedlings for transplanting is at least 25 - 30 days.,BHADRAK,1
243,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Fertilizer dose in Paddy," Recommended to apply for paddy  DAP-35 kg + potash -15 kg + urea - 6 kg as basal dose  , then  Urea @ 25 kg, Zinc sulphate @ 10 kg, Ferterra @ 4 kg , Dhanzyme gold (granule)per acre 21 days after transplanting, then Urea @ 20 kg and MOP @ 15 kg per acre as 3rd dose for Fertilizer application in paddy",BHADRAK,1
244,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Basal fertilizer dose for paddy ,Basal fertilizer dose for paddy = Recommended to apply for paddy  DAP-35 kg + potash -15 kg + urea - 6 kg ,BHADRAK,1
245,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Bhumitra fertiliser dose  in paddy,Recommended to apply Bhumitra CT compost fertiliser @ 1tonn per acre in paddy field.,BHADRAK,1
